"filename", "language", "JSON", "JavaScript", "Markdown", "HTML", "JavaScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\README.md", "Markdown", 0, 0, 9, 0, 0, 0, 0, 8, 17
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\eslint.config.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 2, 30
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\index.html", "HTML", 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\package-lock.json", "JSON", 4210, 0, 0, 0, 0, 0, 0, 1, 4211
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\package.json", "JSON", 35, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\api\services\admin\dataService.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 8, 29
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\api\services\api.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 7, 41
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\api\services\auth\dataUser.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\api\services\auth\logoutService.js", "JavaScript", 0, 12, 0, 0, 0, 0, 1, 1, 14
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\api\services\auth\studentAuthService.js", "JavaScript", 0, 44, 0, 0, 0, 0, 10, 12, 66
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\api\services\auth\teacherAuthService.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\api\services\courses\activities\activityService.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 5, 26
